POI_category_name,POI_category_ID,station_id,station_name,POI_id,POI_alias,POI_name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,distance,categories_alias,categories_title
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,E43R3DuzaKD05c-Ngv-4Nw,jonathan-rogers-park-vancouver,Jonathan Rogers Park,https://s3-media1.fl.yelpcdn.com/bphoto/4P8PaCxBPvMzrTIz3nD1hg/o.jpg,False,https://www.yelp.com/biz/jonathan-rogers-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,11,4.5,,+16042578400,+1 604-257-8400,508.52902500748274,parks,Parks
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,tI70Wf2bTa2eH2rURHYp5Q,major-matthews-park-vancouver,Major Matthews Park,https://s3-media3.fl.yelpcdn.com/bphoto/QH5MUdIDkl3rii6Zh2faxg/o.jpg,False,https://www.yelp.com/biz/major-matthews-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,5.0,,,,536.2770371279067,parks,Parks
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,4nhH7mC7OGBRTu-9WSOmJw,willow-park-vancouver,Willow Park,,False,https://www.yelp.com/biz/willow-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,4.0,,+16048737000,+1 604-873-7000,613.4106071720862,parks,Parks
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,m8JK1uIK1HNU-10oGn3OAQ,mount-pleasant-skate-park-vancouver,Mount Pleasant Skate Park,,False,https://www.yelp.com/biz/mount-pleasant-skate-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,3.0,,,,766.0307926528094,skate_parks,Skate Parks
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,-65-OqxIBL4qdTN5PA-svw,mount-pleasant-park-vancouver,Mount Pleasant Park,https://s3-media1.fl.yelpcdn.com/bphoto/zUA_WC9syQj1VV-nZG9yyA/o.jpg,False,https://www.yelp.com/biz/mount-pleasant-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,4,5.0,,,,839.2723099788685,parks,Parks
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,-65-OqxIBL4qdTN5PA-svw,mount-pleasant-park-vancouver,Mount Pleasant Park,https://s3-media1.fl.yelpcdn.com/bphoto/zUA_WC9syQj1VV-nZG9yyA/o.jpg,False,https://www.yelp.com/biz/mount-pleasant-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,4,5.0,,,,839.2723099788685,playgrounds,Playgrounds
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,oCNy5AtXUagtQQQo0vqAtw,charleson-park-vancouver-2,Charleson Park,https://s3-media4.fl.yelpcdn.com/bphoto/1qmrWcHcOfDA_XHIhqVeOw/o.jpg,False,https://www.yelp.com/biz/charleson-park-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,19,4.5,,,,898.1037877103395,parks,Parks
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,oCNy5AtXUagtQQQo0vqAtw,charleson-park-vancouver-2,Charleson Park,https://s3-media4.fl.yelpcdn.com/bphoto/1qmrWcHcOfDA_XHIhqVeOw/o.jpg,False,https://www.yelp.com/biz/charleson-park-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,19,4.5,,,,898.1037877103395,playgrounds,Playgrounds
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,yoCA7b04Q_f_HQX__EDchA,heather-park-vancouver,Heather Park,https://s3-media1.fl.yelpcdn.com/bphoto/A8-rJfOxCwa0dnBSfKlrAg/o.jpg,False,https://www.yelp.com/biz/heather-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,4.5,,+16048737000,+1 604-873-7000,1000.4805431258563,tennis,Tennis
Park,16032,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,yoCA7b04Q_f_HQX__EDchA,heather-park-vancouver,Heather Park,https://s3-media1.fl.yelpcdn.com/bphoto/A8-rJfOxCwa0dnBSfKlrAg/o.jpg,False,https://www.yelp.com/biz/heather-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,4.5,,+16048737000,+1 604-873-7000,1000.4805431258563,parks,Parks
